GEOID,HDED_2010,HDED_2017,Percent_Difference
60601,13,19,46.15384615
60605,44,43,-2.272727273
60606,16,19,18.75
60607,143,113,-20.97902098
60608,450,483,7.333333333
60609,584,565,-3.253424658
60610,252,175,-30.55555556
60611,28,21,-25
60612,756,632,-16.4021164
60613,161,107,-33.54037267
60614,167,111,-33.53293413
60615,329,369,12.15805471
60616,174,185,6.32183908
60617,1232,1080,-12.33766234
60618,413,327,-20.82324455
60619,1116,1068,-4.301075269
60620,1243,1113,-10.45856798
60621,1052,773,-26.52091255
60622,353,284,-19.54674221
60623,1163,1008,-13.32760103
60624,1348,964,-28.48664688
60625,253,257,1.581027668
60626,374,262,-29.94652406
60628,1507,1243,-17.51824818
60629,963,751,-22.0145379
60630,147,186,26.53061224
60631,55,53,-3.636363636
60632,335,335,0
60633,38,32,-15.78947368
60634,243,279,14.81481481
60636,1109,800,-27.86293959
60637,955,894,-6.387434555
60638,119,165,38.65546218
60639,841,821,-2.378121284
60640,300,349,16.33333333
60641,305,404,32.45901639
60642,36,53,47.22222222
60643,510,491,-3.725490196
60644,1619,1166,-27.98023471
60645,247,243,-1.619433198
60646,47,48,2.127659574
60647,725,510,-29.65517241
60649,940,851,-9.468085106
60651,1482,1208,-18.48852901
60652,255,255,0
60653,496,455,-8.266129032
60654,32,41,28.125
60655,60,34,-43.33333333
60656,52,62,19.23076923
60657,100,80,-20
60659,196,171,-12.75510204
60660,130,109,-16.15384615
60707,165,220,33.33333333
60827,416,490,17.78846154