Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2022,Citibank N.A.,Form G,Depository Location,2555 N CLARK ST,,17031070102,
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3335 N Ashland Ave,60657-2127,,POINT (-87.66876 41.94258)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3714 N Broadway St,,170310609.00,POINT (-87.64869 41.94968)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2790 N Clybourn Ave,60614,,POINT (-87.67803 41.93222)
2022,U.S. Bank,Form G,Depository Location,940 E Rand Rd,,8027.02,POINT (-87.92249 42.0671)
2022,Citibank N.A.,Form G,Depository Location,2801 W DEVON AVE,,17031020702,POINT (-87.69984 41.99757)
2022,Associated Bank,Form G,Depository Location,1763 W Howard St Chicago 60626,,102.02,POINT (-87.67535 42.01939)
2021,"Bank of America, National Association",Form G,Depository Locations,"5601 S Kedzie Ave., Chicago, IL 60629-2405",,17031630800,POINT (-87.70302 41.79124)
2022,U.S. Bank,Form G,Depository Location,3515 W Irving Park Rd,,1608.00,POINT (-87.71595 41.95376)
2022,PNC Bank,Form G,Depository Location,"3337 W NORTH AVE CHICAGO, IL 60647",,17031230900,POINT (-87.71095 41.91006)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3225 W Addison St,60618-4328,,POINT (-87.70895 41.94662)
2022,Citibank N.A.,Form G,Depository Location,3535 N CENTRAL AVE,,17031151100,POINT (-87.76673 41.94518)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1242 N. Ashland Ave,,17031241500,POINT (-87.66761 41.905)
2021,Amalgamated Bank of Chicago,Form G,Depository Locations,"30 N. LaSalle St., Chicago, IL. 60602",,8391,POINT (-87.63244 41.88287)
2022,Fifth Third Bank N.A,Form G,Depository Location,4800 N Western Ave,,17031040201,POINT (-87.6889 41.96878)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5134 N Clark St,,170310310.00,POINT (-87.66835 41.97548)
2021,Citibank N.A.,Form G,Depository Locations,4010 W 26TH ST CHICAGO IL 60623,,3018.02,POINT (-87.72516 41.84426)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5341 N Lincoln Ave,60625,,POINT (-87.69264 41.97898)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1130 W Taylor St,,170318333.00,POINT (-87.65553 41.86944)
2021,"Bank of America, National Association",Form G,Depository Locations,"5231 S Pulaski Rd., Chicago, IL 60632",,17031620100,POINT (-87.72247 41.79782)
2022,U.S. Bank,Form G,Depository Location,25 E Washington St,,3201.00,POINT (-87.62669 41.88325)
2022,U.S. Bank,Form G,Depository Location,18300 Kedzie Ave,,8299.02,POINT (-87.69472 41.5567)
2022,Bank of America,Form G,Depository Location,4500 W North Ave,,17031230500,POINT (-87.73904 41.91004)
2021,BMO Harris Bank National Association,Form G,Depository Locations,5960 West Irving Park Road,,17031150402,POINT (-87.77637 41.95308)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1 E Wacker Dr,,17031320100,POINT (-87.6275 41.88681)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,3440 SOUTH ARCHER AVENUE,,17031840300,POINT (-87.67592 41.83144)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,11721 S Halsted St,60628,,POINT (-87.64196 41.68076)
2021,"PNC Bank, National Association",Form G,Depository Locations,"750 S HALSTED ST CHICAGO, IL 60607",,17031841900,POINT (-87.64713 41.87259)
2022,Fifth Third Bank N.A,Form G,Depository Location,161 N. Clark,,17031839100,POINT (-87.63093 41.88471)
2022,Huntington,Form G,Depository Location,"1341 N Paulina St, Chicago, IL, 60622",,17031241500,POINT (-87.67002 41.90655)
2022,PNC Bank,Form G,Depository Location,"873 N RUSH ST CHICAGO, IL 60611",,17031081201,POINT (-87.62653 41.89867)
2021,"PNC Bank, National Association",Form G,Depository Locations,"302 W ADAMS ST CHICAGO, IL 60606",,17031839100,POINT (-87.63556 41.87938)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3033 N Pulaski Rd,,170312105.01,POINT (-87.72709 41.93643)
2022,U.S. Bank,Form G,Depository Location,310 Waukegan Ave,,8652.00,POINT (-87.80875 42.20216)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,2196 N. ELSTON,,17031832300,POINT (-87.67209 41.92135)
2022,Citibank N.A.,Form G,Depository Location,2801 W DEVON AVE,,17031020702,POINT (-87.69984 41.99757)
2022,U.S. Bank,Form G,Depository Location,9339 Waukegan Rd,,8084.00,POINT (-87.79941 42.05066)
2022,U.S. Bank,Form G,Depository Location,704 W Main St,,8505.00,POINT (-88.19268 41.88211)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,800 N Kedzie Ave,60651,,POINT (-87.70655 41.89559)
2021,"Bank of America, National Association",Form G,Depository Locations,"4500 W North Ave., Chicago, IL 60639-4723",,17031230500,POINT (-87.73904 41.91004)
2021,Huntington National Bank,Form G,Depository Locations,"1715 W 47th St, Chicago, IL, 60609",,17031611300,POINT (-87.66807 41.80814)
2022,Huntington,Form G,Depository Location,"102 W Division, Chicago, IL, 60610",,17031080202,POINT (-87.63161 41.90391)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,353 W 83rd St,60620,,POINT (-87.63346 41.74319)
2022,Fifth Third Bank N.A,Form G,Depository Location,8140 South Ashland Avenue,,17031710500,POINT (-87.66332 41.74549)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,2973 N Milwaukee Ave,,17031210501,POINT (-87.71791 41.9355)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,"1055 W Bryn Mawr Ave, Unit B",,170310307.01,POINT (-87.65746 41.98366)
2022,U.S. Bank,Form G,Depository Location,26 W North Ave,,8118.00,
2022,U.S. Bank,Form G,Depository Location,10035 Grand Ave,,8114.02,POINT (-87.87644 41.92968)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3856 W 26th St,,170313005.00,POINT (-87.72188 41.8443)
2021,BMO Harris Bank National Association,Form G,Depository Locations,5493 South Cornell Street,,17031410900,POINT (-87.58541 41.79544)
2021,Citibank N.A.,Form G,Depository Locations,2555 N CLARK ST CHICAGO IL 60614,,701.02,POINT (-87.64276 41.92947)
2021,"Bank of America, National Association",Form G,Depository Locations,"1585 N Milwaukee Ave., Chicago, IL 60622-2009",,17031241500,POINT (-87.67706 41.91015)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,755 N Larrabee St,60654-3490,,POINT (-87.64294 41.89585)
2021,Associated Bank,Form G,Depository Locations,1763 W Howard St Chicago 60626,,102.02,POINT (-87.67535 42.01939)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3868 N Lincoln Ave,60613-3543,,POINT (-87.67746 41.95232)
2021,"PNC Bank, National Association",Form G,Depository Locations,"1 N FRANKLIN ST CHICAGO, IL 60606",,17031839100,POINT (-87.63533 41.88226)
2022,U.S. Bank,Form G,Depository Location,5700 N Lincoln Ave,,0207.01,POINT (-87.69935 41.9856)
2021,BMO Harris Bank National Association,Form G,Depository Locations,3101 N. Broadway,,17031063200,POINT (-87.64434 41.93781)
2022,Citibank N.A.,Form G,Depository Location,180 N MICHIGAN AVE,,17031320102,POINT (-87.62447 41.88553)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2228 S Western Ave,60608,,POINT (-87.68643 41.85123)
2022,Bank of America,Form G,Depository Location,3051 N Clark St,,17031063100,POINT (-87.64876 41.9376)
2022,U.S. Bank,Form G,Depository Location,1350 E Sibley Blvd,,8264.02,POINT (-87.58319 41.62296)
2022,Bank of America,Form G,Depository Location,100 S Wacker Dr,,17031839100,POINT (-87.63701 41.88041)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1910 E 95th St,,170315103.00,POINT (-87.57749 41.72247)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,550 W Adams St,60661-2602,,POINT (-87.64174 41.87931)
2022,U.S. Bank,Form G,Depository Location,2854 W Cermak Rd,,8407.00,POINT (-87.69758 41.85187)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1959 W Division St,,170312422.00,POINT (-87.6771 41.90316)
2022,Huntington,Form G,Depository Location,"1 W Devon Ave, Park Ridge, IL, 60068",,17031810400,
2022,PNC Bank,Form G,Depository Location,"100 W RANDOLPH ST CHICAGO, IL 60601",,17031839100,POINT (-87.63138 41.88447)
2022,PNC Bank,Form G,Depository Location,"2100 W CHICAGO AVE CHICAGO, IL 60622",,17031242300,POINT (-87.67984 41.89624)
2021,Citibank N.A.,Form G,Depository Locations,222 W ADAMS ST CHICAGO IL 60606,,8391,POINT (-87.63475 41.87939)
2022,U.S. Bank,Form G,Depository Location,2201 W 63rd St,,8463.07,POINT (-87.67774 41.77926)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,7180 W Grand Ave,,170318316.00,POINT (-87.80569 41.92392)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,600 N Dearborn St,,170310817.00,POINT (-87.62968 41.89269)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,330 N Desplaines St,60661,,POINT (-87.64427 41.88756)
2022,Citibank N.A.,Form G,Depository Location,5812 S ELLIS AVE,,17031836200,
2022,U.S. Bank,Form G,Depository Location,4765 W Cermak Rd,,8138.01,POINT (-87.74293 41.85124)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2170 N Clybourn Ave,,170318325.00,POINT (-87.66342 41.92092)
2021,"PNC Bank, National Association",Form G,Depository Locations,"2800 W ARMITAGE AVE CHICAGO, IL 60647",,17031221300,POINT (-87.69759 41.91773)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,"800 N Kedzie Ave, Ste 218",,170318366.00,POINT (-87.70655 41.89559)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,936 N Western Ave,,17031242500,POINT (-87.68692 41.89865)
2022,Bank of America,Form G,Depository Location,7126 W North Ave,,17031250500,POINT (-87.80347 41.9092)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3340 W ROOSEVELT RD CHICAGO, IL 60624",,17031843000,POINT (-87.70975 41.86659)
2022,U.S. Bank,Form G,Depository Location,1301 Meijer Dr,,8051.07,POINT (-87.99573 42.04881)
2021,"Bank of America, National Association",Form G,Depository Locations,"2332 W Cermak Rd., Chicago, IL 60608",,17031841200,POINT (-87.68436 41.85203)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,1000 LAKE SHORE DRIVE,,17031081201,POINT (-87.62421 41.90098)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,3604 N Southport Ave,,17031060400,POINT (-87.66404 41.94738)
2021,Huntington National Bank,Form G,Depository Locations,"4012 N Pulaski Rd, Chicago, IL, 60641",,17031160300,POINT (-87.72801 41.95439)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,230 W Grand Ave,60654,,POINT (-87.63538 41.89157)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3820 W BELMONT AVE CHICAGO, IL 60618",,17031831100,POINT (-87.72321 41.93915)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,4723 SOUTH KEDZIE,,17031842800,POINT (-87.70395 41.80732)
2022,U.S. Bank,Form G,Depository Location,251 E Huron St,,0814.01,POINT (-87.62036 41.895)
2022,U.S. Bank,Form G,Depository Location,3525 W 63rd St,,6605.00,POINT (-87.71167 41.77857)
2022,Bank of America,Form G,Depository Location,5601 S Kedzie Ave,,17031630800,POINT (-87.70302 41.79124)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1400 W 18th St,,17031310600,POINT (-87.66151 41.85786)
2022,U.S. Bank,Form G,Depository Location,1401 IL Rte 59,,8832.15,POINT (-87.59135 41.78786)
2022,Bank of America,Form G,Depository Location,3215 N Lincoln Ave,,17031062500,POINT (-87.66894 41.94009)
2021,Citibank N.A.,Form G,Depository Locations,6222 S KEDZIE AVE CHICAGO IL 60629,,6604,POINT (-87.70315 41.78006)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,401 N Clark St,60654-4627,,POINT (-87.63105 41.88945)
2022,Bank of America,Form G,Depository Location,6331 S Archer Ave,,17031560800,POINT (-87.77945 41.79299)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,550 W Adams St,,170312819.00,POINT (-87.64174 41.87931)
2022,U.S. Bank,Form G,Depository Location,1125 S York Rd,,8407.03,POINT (-87.93965 41.93267)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2 N LaSalle St,,170318391.00,POINT (-87.63241 41.88229)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,6155 N Western Ave,,170310209.01,POINT (-87.68975 41.99365)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,3601 N. Broadway,,17031060900,POINT (-87.6472 41.94726)
2022,Huntington,Form G,Depository Location,"1715 W 47th St, Chicago, IL, 60609",,17031611300,POINT (-87.66807 41.80814)
2022,U.S. Bank,Form G,Depository Location,600 W 37th St,,8399.00,POINT (-87.64131 41.82754)
2022,PNC Bank,Form G,Depository Location,"6401 N HARLEM AVE CHICAGO, IL 60631",,17031100200,POINT (-87.80679 41.99709)
2022,Citibank N.A.,Form G,Depository Location,4887 N BROADWAY ST,,17031031200,POINT (-87.65974 41.97134)
2022,Fifth Third Bank N.A,Form G,Depository Location,8300 W Belmont Ave,,17031170600,POINT (-87.83395 41.93762)
2022,Huntington,Form G,Depository Location,"4718 N Broadway St. Suite C, Chicago, IL, 60640",,17031830700,POINT (-87.65896 41.96775)
2022,U.S. Bank,Form G,Depository Location,700 Deerfield Rd,,8649.01,POINT (-87.84543 42.16775)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2235 N Milwaukee Ave,,170312214.00,POINT (-87.69541 41.92171)
2022,PNC Bank,Form G,Depository Location,"4201 N LINCOLN AVE CHICAGO, IL 60618",,17031050200,POINT (-87.68093 41.95795)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1130 S Canal St,,170318419.00,POINT (-87.63976 41.86798)
2022,Citibank N.A.,Form G,Depository Location,4887 N BROADWAY ST,,17031031200,POINT (-87.65974 41.97134)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,92 E 103Rd St,,170314908.00,POINT (-87.62034 41.70724)
2022,Fifth Third Bank N.A,Form G,Depository Location,2 S LaSalle St,,17031839100,POINT (-87.6324 41.88173)
2021,Associated Bank,Form G,Depository Locations,300 N LaSalle Dr Chicago 60654,,817,POINT (-87.632468 41.886245)
2021,"Bank of America, National Association",Form G,Depository Locations,"5250 N Harlem Ave., Chicago, IL 60656",,17031100500,POINT (-87.80704 41.97602)
2022,Bank of America,Form G,Depository Location,5250 N Harlem Ave,,17031100500,POINT (-87.80704 41.97602)
2021,"PNC Bank, National Association",Form G,Depository Locations,"1231 N WELLS ST CHICAGO, IL 60610",,17031080300,POINT (-87.6345 41.90478)
2022,Bank of America,Form G,Depository Location,6359 W Diversey Ave,,17031190601,POINT (-87.78524 41.931)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1542 W 47th St,,17031842600,POINT (-87.66358 41.80863)
2022,U.S. Bank,Form G,Depository Location,808 W State St,,8526.01,POINT (-87.62822 41.89706)
2022,PNC Bank,Form G,Depository Location,"3450 W 26TH ST CHICAGO, IL 60623",,17031300700,POINT (-87.71211 41.84468)
2022,U.S. Bank,Form G,Depository Location,4450 Golf Rd,,8068.01,POINT (-87.73934 42.05527)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,141 W Jackson Blvd,60604-2929,,POINT (-87.63228 41.87814)
2022,Fifth Third Bank N.A,Form G,Depository Location,601 South Clark,,17031839000,POINT (-87.63067 41.87427)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,935 W Armitage Ave,60614-3093,,POINT (-87.65236 41.91811)
2022,Citibank N.A.,Form G,Depository Location,500 W MADISON ST,,17031280100,
2021,"Bank of America, National Association",Form G,Depository Locations,"515 N La Salle Dr., Chicago, IL 60654-7108",,17031081700,POINT (-87.6326 41.89138)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,2927 WEST ADDISON AVENUE,,17031210100,POINT (-87.7017 41.94665)
2022,Fifth Third Bank N.A,Form G,Depository Location,5918 N Broadway St,,17031030500,POINT (-87.66026 41.98964)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,111 WEST MONROE STREET,,17031839100,POINT (-87.63148 41.88068)
2021,"Bank of America, National Association",Form G,Depository Locations,"7516 N Clark St., Chicago, IL 60626",,17031010202,POINT (-87.676 42.01864)
2022,U.S. Bank,Form G,Depository Location,2958 N Milwaukee Ave,,2105.02,POINT (-87.71744 41.93522)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,5241 West 63rd Street,,17031640700,POINT (-87.75358 41.77797)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,238 N State St,,170318391.00,POINT (-87.62807 41.88646)
2022,U.S. Bank,Form G,Depository Location,225 N Michigan Ave,,3201.00,POINT (-87.62446 41.88644)
2021,"Bank of America, National Association",Form G,Depository Locations,"3260 W Belmont Ave., Chicago, IL 60618-5502",,17031831100,POINT (-87.70986 41.93952)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1420 East 53rd Street,,17031410800,POINT (-87.59097 41.79952)
2022,Citibank N.A.,Form G,Depository Location,69 W WASHINGTON ST,,17031839100,
2022,U.S. Bank,Form G,Depository Location,9401 S Cicero Ave,,8221.02,POINT (-87.74009 41.72162)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5352 N Elston Ave,60630-1637,,POINT (-87.75741 41.97873)
2022,Huntington,Form G,Depository Location,"6141 S Archer Ave, Chicago, IL, 60638",,17031560800,POINT (-87.77146 41.79433)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,605 N Michigan Ave,,170310814.03,POINT (-87.62418 41.8928)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,739 W Madison St,60661,,POINT (-87.64682 41.88179)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5813 N Milwaukee Ave,60646-5413,,POINT (-87.7794 41.98842)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3360 N WESTERN AVE CHICAGO, IL 60618",,17031843700,POINT (-87.68823 41.94276)
2022,Fifth Third Bank N.A,Form G,Depository Location,1209 North Milwaukee Avenue,,17031241600,POINT (-87.66685 41.90359)
2022,Huntington,Form G,Depository Location,"7530 S Stony Island Ave, Chicago, IL, 60649",,17031834200,POINT (-87.58676 41.75753)
2022,U.S. Bank,Form G,Depository Location,350 Commonwealth Dr,,8713.01,POINT (-88.3149 42.23177)
2022,Citibank N.A.,Form G,Depository Location,1751 W 47TH ST,,17031611300,POINT (-87.66938 41.80855)
2022,U.S. Bank,Form G,Depository Location,9200 S Western Ave,,8216.00,POINT (-87.68217 41.72601)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1101 W Lawrence Ave,,170318307.00,POINT (-87.65786 41.96905)
2022,Citibank N.A.,Form G,Depository Location,6222 S KEDZIE AVE,,17031660400,
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1934 S State St,60616-1613,,POINT (-87.62715 41.85562)
2022,U.S. Bank,Form G,Depository Location,99 Indianwood Blvd,,8303.00,POINT (-87.67741 41.48152)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,5493 SOUTH CORNELL STREET,,17031410900,POINT (-87.58541 41.79544)
2022,Citibank N.A.,Form G,Depository Location,4010 W 26TH ST,,17031301802,POINT (-87.72516 41.84426)
2022,U.S. Bank,Form G,Depository Location,536 S York St,,8440.02,POINT (-87.94075 41.88375)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4363 S Archer Ave,,170315805.02,POINT (-87.70381 41.81434)
2022,Huntington,Form G,Depository Location,"5516 N Clark St, Chicago, IL, 60640",,17031030900,POINT (-87.6686 41.98274)
2021,"Bank of America, National Association",Form G,Depository Locations,"5983 N Lincoln Ave, Chicago, IL 60659",,17031020701,POINT (-87.70654 41.9899)
2021,BMO Harris Bank National Association,Form G,Depository Locations,800 W Washington Blvd,,17031833000,POINT (-87.64769 41.88315)
2022,PNC Bank,Form G,Depository Location,"2021 N CLARK ST CHICAGO, IL 60614",,17031071400,POINT (-87.63692 41.91971)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5687 S Archer Ave,,170315607.00,POINT (-87.75357 41.79686)
2022,Fifth Third Bank N.A,Form G,Depository Location,1542 W 47th St,,17031842600,POINT (-87.66358 41.80863)
2022,PNC Bank,Form G,Depository Location,"1231 N WELLS ST CHICAGO, IL 60610",,17031080300,POINT (-87.6345 41.90478)
2022,Huntington,Form G,Depository Location,"4660 W Irving Park Rd, Chicago, IL, 60641",,17031831700,POINT (-87.74441 41.95345)
2022,Fifth Third Bank N.A,Form G,Depository Location,4017 Lawrence Avenue,,17031140500,POINT (-87.7287 41.96823)
2022,U.S. Bank,Form G,Depository Location,798 S Randall Rd,,8712.06,POINT (-88.33614 42.16167)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5620 W Belmont Ave,,170311512.00,POINT (-87.76734 41.93905)
2022,Citibank N.A.,Form G,Depository Location,9449 S WESTERN AVE,,17031720100,POINT (-87.68206 41.72139)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,150 N Michigan Ave,,170313201.00,POINT (-87.62444 41.88483)
2022,U.S. Bank,Form G,Depository Location,1999 South Campus Drive,,8087.02,POINT (-87.67407 42.05418)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,1300 SOUTH WABASH,,17031330102,POINT (-87.62577 41.86559)
2021,"Bank of America, National Association",Form G,Depository Locations,"4200 S Ashland Ave., Chicago, IL 60609",,17031610300,POINT (-87.66518 41.81756)
2022,U.S. Bank,Form G,Depository Location,4455 Montgomery Rd,,8465.13,POINT (-88.20689 41.73254)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,"1055 W Bryn Mawr Ave, Unit B",60660-4631,,POINT (-87.65746 41.98366)
2022,Huntington,Form G,Depository Location,"4930 N Milwaukee Ave, Chicago, IL, 60630",,17031110502,POINT (-87.76311 41.97053)
2021,BMO Harris Bank National Association,Form G,Depository Locations,99 West Washington Street,,17031839100,POINT (-87.63086 41.88325)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,9138 S Commercial Ave,60617-4307,,POINT (-87.55158 41.72876)
2021,BMO Harris Bank National Association,Form G,Depository Locations,522 West Roosevelt Road,,17031841900,POINT (-87.64012 41.86724)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,353 W 83rd St,,170318424.00,POINT (-87.63346 41.74319)
2022,Fifth Third Bank N.A,Form G,Depository Location,3030 E 92nd St,,17031461000,POINT (-87.54958 41.72826)
2022,U.S. Bank,Form G,Depository Location,1325 Howard St,,8103.01,POINT (-87.66432 42.01928)
2022,Fifth Third Bank N.A,Form G,Depository Location,936 N Western Ave,,17031242500,POINT (-87.68692 41.89865)
2022,U.S. Bank,Form G,Depository Location,800 S Wheeling Rd,,8030.14,POINT (-87.92767 42.12386)
