Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2021,Huntington National Bank,Form G,Depository Locations,"7227 W Addison St, Chicago, IL, 60634",,17031170800,POINT (-87.80783 41.94526)
2022,"Albany Bank and Trust Company, N.A.",Form G,Depository Location,3400 W Lawrence Ave,,17.031.1402.00,POINT (-87.71344 41.9684)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1625 W 18th St,,17031310800,POINT (-87.66723 41.85751)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1849 W North Ave,,170312415.00,POINT (-87.67411 41.91053)
2021,"PNC Bank, National Association",Form G,Depository Locations,"6511 N SHERIDAN RD CHICAGO, IL 60626",,17031010400,POINT (-87.66074 42.00102)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1809 W Lawrence Ave,,170318308.00,POINT (-87.67533 41.96856)
2022,Bank of America,Form G,Depository Location,49 E Chicago Ave,,17031081500,POINT (-87.62619 41.89671)
2022,U.S. Bank,Form G,Depository Location,6729 North Ave,,8122.00,POINT (-87.79374 41.90904)
2022,PNC Bank,Form G,Depository Location,"1733 S CLARK ST CHICAGO, IL 60616",,17031330200,POINT (-87.62977 41.85803)
2022,U.S. Bank,Form G,Depository Location,750 E Rollins Rd,,8612.02,POINT (-88.06513 42.37924)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,11850 South Marshfield Avenue,,17031750500,POINT (-87.66251 41.6784)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,8140 South Ashland Avenue,,17031710500,POINT (-87.66332 41.74549)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,3030 E 92nd St,,17031461000,POINT (-87.54958 41.72826)
2022,Citibank N.A.,Form G,Depository Location,3430 S HALSTED ST,,17031839700,
2021,"Bank of America, National Association",Form G,Depository Locations,"1651 E 95th St., Chicago, IL 60617",,17031510300,POINT (-87.58372 41.72236)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,"7131 S Jeffery Blvd, Ste E",,170314306.00,POINT (-87.5763 41.7654)
2022,Citibank N.A.,Form G,Depository Location,100 S MICHIGAN AVE,,17031320400,POINT (-87.62446 41.88067)
2022,U.S. Bank,Form G,Depository Location,7701 Green Bay Rd,,0025.00,POINT (-87.64534 41.75406)
2022,Fifth Third Bank N.A,Form G,Depository Location,3601 N. Broadway,,17031060900,POINT (-87.6472 41.94726)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3714 N Broadway St,60613-4105,,POINT (-87.64869 41.94968)
2022,U.S. Bank,Form G,Depository Location,175 N Milwaukee Ave,,8662.00,POINT (-87.63981 41.88572)
2022,Associated Bank,Form G,Depository Location,300 N LaSalle Dr Chicago 60654,,817,POINT (-87.632468 41.886245)
2022,U.S. Bank,Form G,Depository Location,936 Harlem Ave,,8021.00,POINT (-87.80553 42.07184)
2021,Citibank N.A.,Form G,Depository Locations,2022 S ARCHER AVE CHICAGO IL 60616,,8411,POINT (-87.63184 41.85431)
2021,BMO Harris Bank National Association,Form G,Depository Locations,2196 N. Elston,,17031832300,POINT (-87.67209 41.92135)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,549 N McClurg Ct,,170310814.02,POINT (-87.61769 41.89214)
2021,"Bank of America, National Association",Form G,Depository Locations,"1565 N Clybourn Ave., Chicago, IL 60610",,17031842200,POINT (-87.64807 41.90987)
2022,Fifth Third Bank N.A,Form G,Depository Location,1606 East 79th Street,,17031834200,POINT (-87.58495 41.7515)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5137 S Pulaski Rd,60632-4219,,POINT (-87.72334 41.79973)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4854 W Irving Park Rd,60641-2718,,POINT (-87.74942 41.95387)
2021,BMO Harris Bank National Association,Form G,Depository Locations,352 E. Illinois Street,,17031081403,POINT (-87.61827 41.89105)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,8300 W Belmont Ave,,17031170600,POINT (-87.83395 41.93762)
2021,"Bank of America, National Association",Form G,Depository Locations,"9233 S Commercial Ave., Chicago, IL 60617",,17031461000,POINT (-87.55063 41.72725)
2022,Fifth Third Bank N.A,Form G,Depository Location,33 W Huron St,,17031081600,POINT (-87.6291 41.89486)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,6343 WEST 63RD STREET,,17031640600,POINT (-87.78059 41.77768)
2022,U.S. Bank,Form G,Depository Location,3901 Kirchoff Rd,,8040.00,POINT (-88.02859 42.0815)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,837 West North Avenue,,17031842200,POINT (-87.64978 41.91057)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,30 S Wacker Dr,60606-7413,,POINT (-87.63702 41.88091)
2021,"Bank of America, National Association",Form G,Depository Locations,"430 W Roosevelt Rd., Chicago, IL 60607-4906",,17031841900,POINT (-87.63873 41.86726)
2022,PNC Bank,Form G,Depository Location,"1156 N ASHLAND AVE CHICAGO, IL 60622",,17031242100,POINT (-87.6675 41.90285)
2021,"PNC Bank, National Association",Form G,Depository Locations,"1640 W FULLERTON AVE CHICAGO, IL 60614",,17031070700,POINT (-87.66988 41.92515)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1204 E 53rd St,,170314107.00,POINT (-87.59646 41.79946)
2022,PNC Bank,Form G,Depository Location,"302 W ADAMS ST CHICAGO, IL 60606",,17031839100,POINT (-87.63556 41.87938)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,330 N Desplaines St,,170312801.00,POINT (-87.64427 41.88756)
2022,Citibank N.A.,Form G,Depository Location,1310 E 47TH ST,,17031390100,POINT (-87.59439 41.80966)
2022,Bank of America,Form G,Depository Location,1167 N State St,,17031081202,POINT (-87.6287 41.90378)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5134 N Clark St,60640-2828,,POINT (-87.66835 41.97548)
2022,U.S. Bank,Form G,Depository Location,310 N Pulaski Rd,,2602.00,POINT (-87.72582 41.88589)
2022,U.S. Bank,Form G,Depository Location,6201 W Cermak Rd,,8151.00,POINT (-87.77914 41.8504)
2022,Bank of America,Form G,Depository Location,1212 S Ashland Ave,,17031842900,POINT (-87.66641 41.86647)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,6350 N Mccormick Rd,,170311301.00,POINT (-87.71187 41.9966)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,1620 W 95TH ST,,17031720100,POINT (-87.66348 41.72141)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,605 N Michigan Ave,60611-3101,,POINT (-87.62418 41.8928)
2022,U.S. Bank,Form G,Depository Location,8811 159th St,,8241.08,POINT (-87.83386 41.60168)
2022,Bank of America,Form G,Depository Location,4200 S Ashland Ave,,17031610300,POINT (-87.66518 41.81756)
2022,Citibank N.A.,Form G,Depository Location,9449 S WESTERN AVE,,17031720100,POINT (-87.68206 41.72139)
2021,"PNC Bank, National Association",Form G,Depository Locations,"401 N LA SALLE DR CHICAGO, IL 60654",,17031081700,POINT (-87.63254 41.88925)
2022,U.S. Bank,Form G,Depository Location,2263 S Wentworth Ave,,8411.00,POINT (-87.63198 41.85117)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,9138 S Commercial Ave,,170314610.00,POINT (-87.55158 41.72876)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,757 W 35th St,,170318399.00,POINT (-87.64537 41.83077)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4145 W Peterson Ave,,170311203.00,POINT (-87.7331 41.99009)
2021,Citibank N.A.,Form G,Depository Locations,2801 W DEVON AVE CHICAGO IL 60659,,207.02,POINT (-87.69984 41.99757)
2022,Huntington,Form G,Depository Location,"3570 N Elston Ave, Chicago, IL, 60618",,17031831100,POINT (-87.70797 41.94603)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,522 WEST ROOSEVELT ROAD,,17031841900,POINT (-87.64012 41.86724)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,6415 N Sheridan Rd,,170310104.00,POINT (-87.66066 41.99916)
2022,U.S. Bank,Form G,Depository Location,6677 N Lincoln Ave,,8080.02,POINT (-87.7262 42.00251)
2022,Fifth Third Bank N.A,Form G,Depository Location,5501 North Ashland Avenue,,17031030900,POINT (-87.66977 41.98194)
2022,Citibank N.A.,Form G,Depository Location,539 N MICHIGAN AVE,,17031081403,
2022,U.S. Bank,Form G,Depository Location,1026 Ogden Ave,,8460.03,POINT (-87.65311 41.89791)
2021,"Bank of America, National Association",Form G,Depository Locations,"4671 W Irving Park Rd., Chicago, IL 60641",,17031831700,POINT (-87.74544 41.95315)
2022,Fifth Third Bank N.A,Form G,Depository Location,1950 West 33rd Street,,17031840400,POINT (-87.67437 41.83406)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6650 S Stony Island Ave,60637-4468,,POINT (-87.58677 41.77385)
2021,"Bank of America, National Association",Form G,Depository Locations,"2 N Riverside Plz., Chicago, IL 60606
105 N Halsted St., Chicago, IL 60661-2116",,17031280100,POINT (-87.63873 41.88196)
2022,Huntington,Form G,Depository Location,"4012 N Pulaski Rd, Chicago, IL, 60641",,17031160300,POINT (-87.72801 41.95439)
2022,U.S. Bank,Form G,Depository Location,7312 W Grand Ave,,8107.02,POINT (-87.80944 41.92479)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1851 N Cicero Ave,60639-4515,,POINT (-87.74602 41.91409)
2022,U.S. Bank,Form G,Depository Location,5850 W Belmont Ave,,1512.00,POINT (-87.77356 41.93875)
2021,Citibank N.A.,Form G,Depository Locations,69 W WASHINGTON ST CHICAGO IL 60602,,8391,POINT (-87.63001 41.88325)
2021,BMO Harris Bank National Association,Form G,Depository Locations,29 N. Wacker Dr.,,17031839100,POINT (-87.63684 41.88278)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1934 S State St,,170313302.00,POINT (-87.62715 41.85562)
2021,"PNC Bank, National Association",Form G,Depository Locations,"5247 N BROADWAY ST CHICAGO, IL 60640",,17031030703,POINT (-87.65991 41.97771)
2022,Fifth Third Bank N.A,Form G,Depository Location,1 S Wacker Dr,,17031839100,POINT (-87.63678 41.88152)
2022,Huntington,Form G,Depository Location,"11730 S Marshfield Ave, Chicago, IL, 60643",,17031750500,POINT (-87.66246 41.68057)
2022,Citibank N.A.,Form G,Depository Location,2295 N MILWAUKEE AVE,,17031221400,POINT (-87.69719 41.9228)
2022,PNC Bank,Form G,Depository Location,"307 N MICHIGAN AVE CHICAGO, IL 60601",,17031320100,POINT (-87.62446 41.88696)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1551 N Kingsbury St,60642-2533,,POINT (-87.65259 41.90954)
2021,"PNC Bank, National Association",Form G,Depository Locations,"5075 S ARCHER AVE CHICAGO, IL 60632",,17031570300,POINT (-87.72759 41.80104)
2022,U.S. Bank,Form G,Depository Location,2000 S Lake St,,8645.10,POINT (-87.67692 41.88498)
2022,PNC Bank,Form G,Depository Location,"3820 W BELMONT AVE CHICAGO, IL 60618",,17031831100,POINT (-87.72321 41.93915)
2022,U.S. Bank,Form G,Depository Location,6301 S Cass Ave,,8455.06,POINT (-87.97401 41.77317)
2022,U.S. Bank,Form G,Depository Location,22222 Governors Hwy,,8300.07,POINT (-87.71294 41.48465)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,230 W Grand Ave,,170310818.00,POINT (-87.63538 41.89157)
2022,Bank of America,Form G,Depository Location,33 N Dearborn St,,17031839100,POINT (-87.62943 41.88273)
2022,Citibank N.A.,Form G,Depository Location,180 N MICHIGAN AVE,,17031320102,POINT (-87.62447 41.88553)
2022,Citibank N.A.,Form G,Depository Location,1 E OAK ST,,17031081201,POINT (-87.62804 41.90077)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3032 N Clark St,,170310631.00,POINT (-87.64863 41.93744)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3868 N Lincoln Ave,,170310506.00,POINT (-87.67746 41.95232)
2022,U.S. Bank,Form G,Depository Location,2600 E Sauk Trl,,8285.04,POINT (-87.55882 41.49093)
2022,Bank of America,Form G,Depository Location,6900 S Ashland Ave,,17031671500,POINT (-87.66389 41.76811)
2022,Bank of America,Form G,Depository Location,500 N Michigan Ave,,17031081500,POINT (-87.62412 41.89099)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1103 W Addison St,,170318320.00,POINT (-87.65758 41.94716)
2022,U.S. Bank,Form G,Depository Location,1250 E Lake St,,8411.08,POINT (-87.65833 41.88549)
2022,Huntington,Form G,Depository Location,"6430 W Irving Park Rd, Chicago, IL, 60634",,17031170100,POINT (-87.78783 41.95291)
2022,U.S. Bank,Form G,Depository Location,8500 W Dempster St,,8060.04,POINT (-87.83843 42.04005)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,800 W Madison St,,17031833000,POINT (-87.64761 41.88178)
2021,"PNC Bank, National Association",Form G,Depository Locations,"6333 N MILWAUKEE AVE CHICAGO, IL 60646",,17031100100,POINT (-87.78645 41.99586)
2021,Citibank N.A.,Form G,Depository Locations,2001 N HALSTED ST CHICAGO IL 60614,,712,POINT (-87.64806 41.91835)
2022,PNC Bank,Form G,Depository Location,"750 S HALSTED ST CHICAGO, IL 60607",,17031841900,POINT (-87.64713 41.87259)
2022,Fifth Third Bank N.A,Form G,Depository Location,1625 W 18th St,,17031310800,POINT (-87.66723 41.85751)
2022,PNC Bank,Form G,Depository Location,"5075 S ARCHER AVE CHICAGO, IL 60632",,17031570300,POINT (-87.72759 41.80104)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,4531 NORTH BROADWAY,,17031830700,POINT (-87.65689 41.96455)
2022,Fifth Third Bank N.A,Form G,Depository Location,6131 North Lincoln,,17031130100,POINT (-87.71199 41.99322)
2022,Citibank N.A.,Form G,Depository Location,6222 S KEDZIE AVE,,17031660400,
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4809 S Ashland Ave,,170316112.00,POINT (-87.66491 41.80644)
2022,Huntington,Form G,Depository Location,"222 N LaSalle St, Chicago, IL, 60601",,17031839100,POINT (-87.63257 41.88631)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,800 W. WASHINGTON BLVD,,17031833000,POINT (-87.64769 41.88315)
2022,Citibank N.A.,Form G,Depository Location,8650 S STONY ISLAND AVE,,17031834300,POINT (-87.58593 41.73712)
2022,U.S. Bank,Form G,Depository Location,5340 N Clark St,,0309.00,POINT (-87.66833 41.97921)
2021,"Bank of America, National Association",Form G,Depository Locations,"6331 S Archer Ave., Chicago, IL 60638",,17031560800,POINT (-87.77945 41.79299)
2022,Huntington,Form G,Depository Location,"1400 W Fullerton Ave, Chicago, IL, 60614",,17031070600,POINT (-87.6635 41.92524)
2022,U.S. Bank,Form G,Depository Location,815 W 63rd St,,6810.00,POINT (-87.64551 41.77978)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,11721 S Halsted St,,170315302.00,POINT (-87.64196 41.68076)
2022,Bank of America,Form G,Depository Location,1439 E 53rd St,,17031410800,POINT (-87.59013 41.79953)
2022,U.S. Bank,Form G,Depository Location,7460 Woodward Ave,,8463.07,POINT (-88.03196 41.75159)
2021,Associated Bank,Form G,Depository Locations,1301 Waukegan Rd Glenview 60025,,8022,POINT (-87.89178 42.3075)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1122 N Clark St,60610-2857,,POINT (-87.63142 41.90268)
2022,U.S. Bank,Form G,Depository Location,1229 State St,,8240.06,POINT (-87.62735 41.86664)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6940A S Ashland Ave,60636,,POINT (-87.66386 41.76758)
2021,BMO Harris Bank National Association,Form G,Depository Locations,3601 North Halsted Street,,17031060900,POINT (-87.64947 41.94748)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,"2377 N Lincoln Ave, Ste A1-100",60614,,POINT (-87.64823 41.92507)
2021,"PNC Bank, National Association",Form G,Depository Locations,"2600 N HALSTED ST CHICAGO, IL 60614",,17031070300,POINT (-87.64891 41.92932)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2317 W Madison St,,170312809.00,POINT (-87.68431 41.8812)
2022,Huntington,Form G,Depository Location,"2538 W 47th St, Chicago, IL, 60632",,17031580800,POINT (-87.68846 41.80865)
2022,U.S. Bank,Form G,Depository Location,209 S La Salle St,,8391.00,POINT (-87.63234 41.87916)
2022,U.S. Bank,Form G,Depository Location,5440 W 87th St,,8211.01,POINT (-87.757 41.7347)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1130 W Taylor St,60607-4213,,POINT (-87.65553 41.86944)
2021,"PNC Bank, National Association",Form G,Depository Locations,"5100 S LAKE PARK AVE CHICAGO, IL 60615",,17031410100,POINT (-87.58794 41.80246)
2021,"PNC Bank, National Association",Form G,Depository Locations,"6360 W HIGGINS AVE CHICAGO, IL 60630",,17031110300,POINT (-87.78779 41.97625)
2022,U.S. Bank,Form G,Depository Location,3314 80th St,,0023.00,POINT (-87.62342 41.74914)
2022,PNC Bank,Form G,Depository Location,"2800 W ARMITAGE AVE CHICAGO, IL 60647",,17031221300,POINT (-87.69759 41.91773)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,161 N. Clark,,17031839100,POINT (-87.63093 41.88471)
2022,U.S. Bank,Form G,Depository Location,736 Roosevelt Rd,,8421.00,POINT (-87.64591 41.86717)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,3959 N Lincoln Ave,,17031050600,POINT (-87.67849 41.95379)
2021,BMO Harris Bank National Association,Form G,Depository Locations,901 East 47th Street,,17031390400,POINT (-87.6028 41.80956)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5687 S Archer Ave,60638-1655,,POINT (-87.75357 41.79686)
2022,U.S. Bank,Form G,Depository Location,14169 S Bell Rd,,8810.06,POINT (-87.93112 41.63115)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3508 S STATE ST CHICAGO, IL 60609",,17031351500,POINT (-87.62705 41.83063)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,338 S. CANAL ST,,17031281900,POINT (-87.63956 41.87731)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,340 E Randolph St,,170313201.00,POINT (-87.61888 41.88451)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,755 N Larrabee St,,170310819.00,POINT (-87.64294 41.89585)
2022,Bank of America,Form G,Depository Location,7516 N Clark St,,17031010202,POINT (-87.676 42.01864)
2022,Fifth Third Bank N.A,Form G,Depository Location,11850 South Marshfield Avenu,,17031750500,POINT (-87.66251 41.6784)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1700 N Wells St,,170310715.00,POINT (-87.63476 41.91309)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5137 S Pulaski Rd,,170316201.00,POINT (-87.72334 41.79973)
2022,Bank of America,Form G,Depository Location,7131 S Stony Island Ave,,17031430500,POINT (-87.58591 41.76531)
2022,Huntington,Form G,Depository Location,"29 E Madison St, Chicago, IL, 60602",,17031320400,POINT (-87.62649 41.88207)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1130 S Canal St,60607-4907,,POINT (-87.63976 41.86798)
2022,U.S. Bank,Form G,Depository Location,855 S Randall Rd,,8522.02,POINT (-88.33556 42.1605)
2021,"Bank of America, National Association",Form G,Depository Locations,"6900 S Ashland Ave., Chicago, IL 60636",,17031671500,POINT (-87.66389 41.76811)
2022,U.S. Bank,Form G,Depository Location,60 S Meacham Rd,,8046.10,POINT (-88.04559 42.02653)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,4800 N Western Ave,,17031040201,POINT (-87.6889 41.96878)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,55 E Monroe St,,170313204.00,POINT (-87.62567 41.8808)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,3101 N. BROADWAY,,17031063200,POINT (-87.64434 41.93781)
2022,Citibank N.A.,Form G,Depository Location,2001 N HALSTED ST,,17031071200,
2022,Fifth Third Bank N.A,Form G,Depository Location,2973 N Milwaukee Ave,,17031210501,POINT (-87.71791 41.9355)
2022,PNC Bank,Form G,Depository Location,"3340 W ROOSEVELT RD CHICAGO, IL 60624",,17031843000,POINT (-87.70975 41.86659)
2021,"Bank of America, National Association",Form G,Depository Locations,"140 S Ashland Ave., Chicago, IL 60607",,17031838100,POINT (-87.66674 41.87912)
2022,PNC Bank,Form G,Depository Location,"401 N LA SALLE DR CHICAGO, IL 60654",,17031081700,POINT (-87.63254 41.88925)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,901 EAST 47TH STREET,,17031390400,POINT (-87.6028 41.80956)
2021,Associated Bank,Form G,Depository Locations,208 Oak Creek Plz Mundelein 60060,,8645.1,POINT (-87.98937 42.23999)
2022,U.S. Bank,Form G,Depository Location,9200 S Commercial Ave,,4610.00,POINT (-87.55119 41.72808)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,902 N State St,,170310811.00,POINT (-87.62827 41.89921)
2022,PNC Bank,Form G,Depository Location,"2154 W MADISON ST CHICAGO, IL 60612",,17031837800,POINT (-87.68112 41.88124)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,150 N Michigan Ave,60601-7553,,POINT (-87.62444 41.88483)
2021,BMO Harris Bank National Association,Form G,Depository Locations,33 West Ohio Street,,17031081600,POINT (-87.62935 41.89244)
2022,Fifth Third Bank N.A,Form G,Depository Location,800 W Madison St,,17031833000,POINT (-87.64761 41.88178)
2021,Citibank N.A.,Form G,Depository Locations,1310 E 47TH ST CHICAGO IL 60653,,3901,POINT (-87.59439 41.80966)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4440 W North Ave,60639,,POINT (-87.73764 41.91008)
2021,"PNC Bank, National Association",Form G,Depository Locations,"5455 W BELMONT AVE CHICAGO, IL 60641",,17031190300,POINT (-87.76357 41.9386)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,300 S Riverside Plz,60606-3534,,POINT (-87.63883 41.87741)
2021,"Bank of America, National Association",Form G,Depository Locations,"3215 N Lincoln Ave., Chicago, IL 60657",,17031062500,POINT (-87.66894 41.94009)
2022,Fifth Third Bank N.A,Form G,Depository Location,837 West North Avenue,,17031842200,POINT (-87.64978 41.91057)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,363 W Ontario St,,17031081800,POINT (-87.63802 41.89313)
2021,"Bank of America, National Association",Form G,Depository Locations,"33 N Dearborn St., Chicago, IL 60602-3102
203 N La Salle St. Lobby G1, Chicago, IL 60601
110 N Wacker Dr., Chicago, IL 60606
135 S La Salle St. Ste LL18, Chicago, IL 60603
100 S Wacker Dr., Chicago, IL 60606",,17031839100,
2022,U.S. Bank,Form G,Depository Location,443 N Bolingbrook Dr,,8801.07,POINT (-88.06912 41.70948)
2022,U.S. Bank,Form G,Depository Location,1 W Dundee Rd,,8025.03,POINT (-87.95913 42.13861)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,8340 S Kedzie Ave,60652-3348,,POINT (-87.70216 41.74112)
2022,Fifth Third Bank N.A,Form G,Depository Location,3959 N Lincoln Ave,,17031050600,POINT (-87.67849 41.95379)
2022,Associated Bank,Form G,Depository Location,525 W Monroe St Chicago 60661,,2819,POINT (-87.64051 41.88057)
